yyyymm,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK
200508,3.40%,-17.50%,1.20%,-9.00%,-7.50%
200509,-13.10%,18.80%,6.00%,25.60%,4.20%
200510,-3.30%,-2.10%,-10.70%,28.50%,0.00%
200511,-10.50%,18.40%,1.70%,-0.90%,-11.10%
200512,-1.90%,0.60%,9.90%,-6.60%,-6.00%
200601,-23.70%,-8.10%,5.00%,-29.20%,7.60%
200602,-18.30%,-13.40%,-10.10%,-15.90%,-18.40%
200603,-6.60%,-10.40%,-5.90%,4.00%,-0.80%
200604,19.80%,31.80%,22.80%,9.40%,-0.10%
200605,-7.00%,15.70%,-4.60%,15.20%,7.60%
200606,-15.00%,-12.60%,-2.00%,-12.60%,-8.40%
200607,-17.30%,-11.60%,-23.00%,-0.70%,-10.70%
200608,-9.60%,-8.10%,-6.40%,-4.20%,-21.50%
200609,-3.90%,-20.30%,3.60%,-17.40%,-4.90%
200610,-20.80%,-9.30%,39.60%,-9.70%,1.70%
200611,-10.80%,47.40%,0.00%,-26.10%,-4.00%
200612,5.50%,-7.70%,-21.80%,13.80%,1.70%
200701,1.30%,2.60%,6.20%,16.60%,-17.70%
200702,-3.00%,-19.50%,1.30%,-6.10%,9.70%
200703,-12.40%,-1.80%,-8.20%,13.70%,4.10%
200704,-13.60%,2.00%,-7.20%,5.60%,9.00%
200705,-0.20%,-13.90%,-14.10%,5.30%,4.90%
200706,17.40%,-0.30%,12.70%,-4.50%,-6.80%
200707,-13.10%,20.80%,-3.20%,-1.70%,6.80%
200708,-0.80%,-0.40%,8.10%,221.90%,4.90%
200709,6.10%,8.60%,33.10%,4.40%,-9.70%
200710,-15.80%,5.00%,11.80%,-30.60%,0.50%
200711,3.40%,24.20%,1.20%,19.70%,-19.70%
200712,-2.80%,2.60%,-2.20%,-9.20%,-14.30%
200801,1.10%,5.10%,6.80%,71.90%,28.20%
200802,-2.80%,14.60%,31.50%,26.70%,-7.10%
200803,14.80%,19.90%,-7.90%,6.40%,-15.00%
200804,-14.60%,-21.80%,-2.60%,7.90%,-12.40%
200805,0.30%,-18.90%,-15.10%,-12.20%,-10.60%
200806,-4.80%,-1.00%,3.10%,4.40%,-7.50%
200807,-12.70%,-25.80%,-14.30%,-3.50%,0.30%
200808,10.30%,66.00%,23.70%,17.00%,-15.50%
200809,9.90%,30.70%,31.40%,125.60%,24.50%
200810,4.50%,69.20%,32.00%,152.80%,60.50%
200811,38.50%,-6.80%,-8.00%,13.90%,2.40%
200812,30.20%,18.40%,16.20%,1.00%,-22.60%
200901,-18.30%,-16.80%,-12.80%,15.10%,-21.50%
200902,-5.00%,-9.90%,-8.50%,-8.30%,-1.60%
200903,-9.50%,-4.20%,-19.90%,-9.80%,1.90%
200904,-16.00%,-24.90%,-18.30%,-14.10%,1.40%
200905,14.70%,36.30%,9.60%,8.90%,-1.40%
200906,-15.70%,-19.40%,-5.00%,1.70%,-17.10%
200907,-16.82%,-23.25%,-9.51%,23.42%,6.70%
200908,-6.96%,-21.52%,-8.83%,17.24%,19.22%
200909,-11.54%,-8.23%,-6.70%,-9.12%,-4.42%
200910,-15.35%,-12.79%,-2.90%,-13.39%,-10.89%
200911,-5.01%,-6.31%,11.49%,-17.89%,-15.39%
200912,-13.71%,-7.07%,-20.61%,-22.51%,-14.90%
201001,-20.97%,-11.59%,-6.28%,-19.17%,-11.81%
201002,-14.19%,8.25%,-9.40%,-12.72%,-23.00%
201003,-23.82%,-11.74%,-16.44%,-28.02%,-2.07%
201004,5.18%,-15.89%,-4.33%,17.80%,-4.90%
201005,21.37%,47.72%,-4.32%,18.04%,15.24%
201006,-1.59%,-4.25%,-14.60%,-22.73%,-8.52%
201007,-14.23%,17.16%,22.18%,-13.30%,-21.33%
201008,45.21%,2.38%,-4.25%,-8.42%,-23.39%
201009,-18.09%,0.70%,3.08%,6.67%,-1.28%
201010,-15.68%,5.57%,16.01%,-11.66%,-8.95%
201011,1.00%,-19.85%,2.62%,-9.69%,-12.85%
201012,0.49%,-4.54%,-1.40%,-24.20%,-12.06%
201101,-6.45%,-17.63%,-20.97%,-9.81%,-15.31%
201102,-12.92%,-15.90%,3.82%,-11.54%,-4.27%
201103,-18.50%,-5.18%,2.52%,-20.05%,-6.32%
201104,-6.54%,22.49%,17.20%,2.64%,-8.62%
201105,2.34%,-19.01%,-15.46%,-4.50%,-21.63%
201106,-11.81%,-18.23%,-4.95%,-3.02%,-10.74%
201107,34.70%,13.69%,0.09%,-7.84%,-3.75%
201108,36.92%,-0.56%,22.02%,17.60%,46.42%
201109,13.52%,18.51%,27.80%,-8.07%,1.89%
201110,-9.69%,-16.94%,-21.53%,-24.67%,-6.93%
201111,2.29%,-19.26%,-6.16%,-22.50%,-22.86%
201112,-0.95%,-25.14%,0.37%,-34.64%,-15.13%
201201,-14.97%,-23.09%,-21.90%,-2.63%,-23.43%
201202,-14.19%,5.56%,-8.06%,-6.91%,-2.69%
201203,-8.55%,-10.70%,-12.50%,-21.07%,-14.41%
201204,2.06%,-18.73%,-13.48%,-6.04%,-16.27%
201205,50.50%,41.04%,19.14%,12.62%,13.66%
201206,-13.35%,-23.16%,13.76%,19.94%,-17.72%
201207,-3.94%,-16.71%,19.23%,29.81%,-8.04%
201208,-6.61%,-20.73%,-10.33%,-13.86%,-2.51%
201209,-14.07%,-15.18%,-7.15%,-11.36%,-17.15%
201210,-26.63%,-19.85%,-24.65%,-27.02%,-15.01%
201211,-18.72%,-6.09%,-9.19%,-17.48%,-18.91%
201212,-17.72%,9.95%,3.43%,-13.90%,-2.53%
201301,2.66%,12.55%,-18.55%,-4.23%,12.75%
201302,-8.32%,11.83%,1.99%,-28.35%,18.30%
201303,-1.87%,-15.38%,-15.92%,15.50%,-3.32%
201304,11.26%,-1.58%,41.44%,-26.90%,-8.73%
201305,11.08%,-0.19%,-6.66%,-10.99%,19.06%
201306,33.60%,7.95%,8.96%,14.72%,-2.05%
201307,-12.80%,-10.46%,0.68%,-20.03%,-0.52%
201308,-2.48%,-21.88%,28.33%,-28.59%,-11.30%
201309,-2.81%,0.59%,-18.71%,-24.61%,-12.48%
201310,-15.30%,-18.11%,-10.64%,-3.58%,4.90%
201311,-12.15%,2.19%,-7.81%,-28.88%,-9.43%
201312,-2.61%,-1.57%,2.57%,-5.33%,0.01%
201401,-2.53%,-23.25%,-10.01%,-17.51%,-12.58%
201402,-11.42%,-15.46%,21.62%,-29.36%,-4.96%
201403,-20.81%,-15.63%,19.91%,-25.46%,-10.38%
201404,-10.16%,-27.94%,-17.79%,-15.97%,-12.50%
201405,9.34%,-13.15%,-12.22%,-15.86%,-12.33%
201406,-18.41%,-17.78%,1.06%,-10.62%,-17.31%
201407,-7.84%,-9.18%,9.83%,-8.83%,-8.13%
201408,15.90%,19.81%,-17.00%,-11.37%,-12.40%
201409,-12.65%,37.26%,42.87%,-20.58%,2.86%
201410,8.79%,7.27%,21.98%,1.21%,8.61%
201411,1.98%,16.73%,0.57%,-19.08%,-1.87%
201412,9.17%,-2.81%,6.52%,-6.96%,11.87%
201501,37.30%,69.10%,5.88%,-4.46%,-7.52%
201502,-2.02%,-18.79%,-6.62%,-6.10%,26.65%
201503,0.47%,14.63%,-18.19%,-16.00%,-5.51%
201504,-4.06%,-5.78%,-11.09%,-12.85%,-12.99%
201505,12.61%,-1.11%,-12.91%,-35.13%,-23.40%
201506,6.04%,-2.12%,31.58%,1.30%,-2.45%
201507,-18.70%,-18.27%,9.71%,-31.05%,-26.90%
201508,5.87%,3.66%,7.33%,-21.39%,66.62%
201509,-11.10%,-11.93%,-18.18%,-7.20%,-9.17%
201510,-16.58%,-17.17%,-19.75%,-11.56%,-10.23%
201511,-9.24%,17.30%,-4.29%,7.31%,-15.88%
201512,-18.73%,-10.02%,-4.39%,-15.28%,-0.81%
201601,24.50%,4.75%,-11.16%,-8.00%,0.72%
201602,9.17%,19.88%,7.29%,-25.16%,-6.02%
201603,-19.33%,-14.37%,-13.32%,-42.21%,-15.61%
